"Chr1";"Chr2";"Chr3";"Chr4";"Chr5";"Chr6";"Chr7";"Chr8";"Chr9";"Chr10";"Chr11";"Chr12";"Chr13";"Chr14";"Chr15";"Chr16";"Chr17";"Chr18";"Chr19";"Chr20";"Chr21";"Chr22"
NA;0,00807997460737133;0,00770136885547543;0,00611004881598801;0,00738081676729189;0,0072254105320174;0,00715582451857474;0,00646906317405572;0,00705748138453848;0,007348467253746;0,0057028828285964;0,00632126495717705;0,00777303370870675;0,00639233036920451;0,00698543380476666;0,00823295894893715;0,00737514336623598;0,00584359143259046;0,00812539075900592;0,00706173321138873;0,0057266332677532;0,00727715915448849
0,00802504276578286;NA;0,00629749781294785;0,00605267861668501;0,00762103223940396;0,0067906621736971;0,0095931145236177;0,00630600228188264;0,00846954318108448;0,00842492290200957;0,00673832893159292;0,00745033341229348;0,00707805004784722;0,00629437104389147;0,00861408358290697;0,00818845585866009;0,0075783053398969;0,0086341022764944;0,0101289157438921;0,00770498410683639;0,00680996984462962;0,009170262194082
0,00764959365118899;0,00633750072981662;NA;0,00523370239407696;0,00731937654798951;0,00680999859385016;0,00768869336972397;0,00604667397759209;0,007985609407364;0,00690697186711036;0,0061795746702595;0,0072919951059572;0,00628671866181068;0,00587328621193572;0,00852826958294521;0,00821330689690419;0,00628501346062165;0,00709623416733028;0,0113295430994937;0,00863901439292298;0,00668819014622057;0,00776372755012739
0,00606200710601226;0,00606643929020739;0,00520687986975512;NA;0,00678995702324499;0,00621998377301249;0,0075975664948728;0,00526336120607075;0,00704465118680779;0,00727160469449641;0,00495704747199082;0,00568377847104362;0,00687837619186015;0,00562430863145896;0,00696148203180566;0,00808348488289794;0,0073852948689963;0,00641690306226476;0,00985335744530214;0,00697869509950447;0,00496024026202954;0,00776902786107594
0,00740603796735176;0,00765470460921273;0,00729883079716488;0,00688328839037764;NA;0,00636601495803285;0,00749603824667584;0,00817291731977571;0,00782333843021411;0,00769289787156805;0,00659041426833906;0,0073062340785561;0,00767779171109175;0,00749697109815208;0,0067972363600916;0,00611221872263633;0,00589626443493064;0,00675765195448381;0,00932306597738372;0,00602478388004089;0,00757934760624235;0,00694373956765348
0,00719099058696112;0,00679385841774209;0,00680264190779435;0,0062425398229273;0,00635971406227898;NA;0,00772508297015146;0,00642672766322982;0,00600785219415652;0,00717375769506275;0,00578878967253042;0,00642121781272316;0,00678177166387735;0,00643841359500043;0,00662129793657003;0,00721908379494147;0,00647544394311396;0,00562548473893866;0,00954029601849994;0,00696585532328461;0,0063188067091291;0,00666272884352727
0,00729475276482814;0,00980525766707128;0,00781136268281278;0,00780438625668089;0,00762012785191907;0,00781740534517113;NA;0,00804021209711597;0,00607227719203373;0,00598242789878726;0,00728518313531063;0,00850516480970334;0,00693971469624572;0,00759225596589714;0,0068439573014842;0,00802849905470766;0,00563550661128021;0,0057527475792839;0,0085165764549662;0,00766723838493939;0,00754918084521919;0,00533519023399761
0,0064327975696227;0,00634617673464242;0,00604358618990796;0,00527172992727787;0,00818524181183707;0,00642813846839699;0,00787044604230203;NA;0,00704060699511152;0,00655382353633574;0,00579696434138527;0,00673172218961937;0,00732988178230685;0,00528095040571093;0,00740617051199375;0,00767776266938081;0,00682777052267835;0,00729056704515174;0,0100338747610621;0,00781557093179764;0,0052496050640887;0,00811424143846699
0,00709776075814054;0,00852619919697309;0,00802690209195486;0,00710013094166086;0,00785329164971088;0,00605374168921054;0,00605821316222296;0,00712214688373161;NA;0,00570069126989988;0,00686849825709893;0,00790662656489691;0,00690058211814203;0,00747904488942981;0,00648737084203002;0,00862679919018475;0,00686223533629515;0,00591127753746651;0,00723324349959643;0,00683178205256841;0,00730816139059848;0,00575802156680347
0,00741916524405006;0,00848796890039267;0,00692073373532809;0,00735592162781741;0,00782393798241154;0,00725233371494571;0,00596000617062289;0,00660643318447672;0,00570560335360793;NA;0,00715827777442742;0,00835711604739351;0,00550372734448336;0,00586256365974026;0,00662350501213118;0,00805954068114051;0,0057155230057143;0,00614655169289574;0,00940346112588913;0,00716242802626039;0,0072881578283815;0,0065396836437705
